Player,Pos,Team,Num,Height,Weight,DOB
"Collins, Zaven",LB,ARI,25,"6'4""",260 lbs,5/19/99
"Colon, Trystan",OL,ARI,63,"6'3""",313 lbs,3/23/98
"Cominsky, John",DL,DET,79,"6'5""",285 lbs,11/22/95
"Conklin, Jack",OT,CLE,78,"6'6""",308 lbs,8/17/94
"Conklin, Tyler",TE,NYJ,83,"6'3""",254 lbs,7/30/95
"Conley, Chris",WR,SF,-,"6'3""",205 lbs,10/25/92
"Conner, Chamarri",DB,KC,27,"6'0""",206 lbs,7/11/00
"Conner, James",RB,ARI,6,"6'1""",233 lbs,5/5/95
"Conner, Snoop",RB,JAC,24,"5'10""",222 lbs,8/1/00
"Conner, Tanner",TE,MIA,80,"6'3""",232 lbs,3/20/98
"Cook, Alex",S,CAR,27,"6'1""",196 lbs,5/21/99
"Cook, Bryan",S,KC,6,"6'1""",206 lbs,9/7/99
"Cook, Dalvin",RB,BAL,31,"5'10""",210 lbs,8/10/95
"Cook, Dylan",OT,PIT,60,"6'6""",305 lbs,1/11/98
"Cook, James",RB,BUF,4,"5'11""",190 lbs,9/25/99
"Cooke, Logan",P,JAC,9,"6'5""",230 lbs,7/28/95
"Cooks, Brandin",WR,DAL,3,"5'10""",189 lbs,9/25/93
"Cooks, Elijah",WR,JAC,14,"6'4""",215 lbs,10/13/98
"Cooper, Amari",WR,CLE,2,"6'1""",211 lbs,6/17/94
"Cooper, Jonathon",LB,DEN,0,"6'4""",257 lbs,1/8/98
"Corbett, Austin",G,CAR,63,"6'4""",305 lbs,9/5/95
"Corbin, Jashaun",RB,NYG,35,"6'0""",221 lbs,8/20/00
"Cosmi, Sam",OT,WAS,76,"6'6""",309 lbs,2/16/99
"Cota, Chase",WR,NYG,-,"6'4""",200 lbs,11/9/99
"Cotton, Lester",G,MIA,66,"6'4""",330 lbs,2/20/96
"Coughlin, Carter",LB,NYG,-,"6'3""",240 lbs,7/21/97
"Cousins, Kirk",QB,ATL,-,"6'3""",205 lbs,8/19/88
"Covey, Britain",WR,PHI,18,"5'8""",173 lbs,3/18/97
"Cowart, Byron",DT,CHI,-,"6'3""",300 lbs,5/20/96
"Cox, Morgan",LS,TEN,46,"6'4""",233 lbs,4/26/86
"Cox Jr., Brenton",LB,GB,57,"6'4""",250 lbs,1/30/00
"Coyle, Tyler",S,GB,24,"6'1""",209 lbs,11/15/98
"Cracraft, River",WR,MIA,-,"6'0""",198 lbs,11/1/94
"Cronk, Coy",OT,MIN,63,"6'4""",318 lbs,1/18/98
"Crosby, Maxx",DE,LV,98,"6'5""",255 lbs,8/22/97
"Cross, Charles",OT,SEA,67,"6'5""",311 lbs,11/25/00
"Cross, Nick",S,IND,20,"6'0""",212 lbs,9/10/01
"Crowder, Jamison",WR,WAS,83,"5'9""",177 lbs,6/17/93
"Cunningham, Malik",QB,BAL,12,"6'1""",198 lbs,10/6/98
"Curhan, Jake",OT,CHI,-,"6'6""",316 lbs,7/9/98
"Curl, Kamren",DB,LAR,-,"6'2""",198 lbs,3/31/99
"Curtis, McClendon",G,SEA,66,"6'6""",325 lbs,9/16/99
"Cushenberry III, Lloyd",C,TEN,-,"6'4""",315 lbs,11/22/97
"Cyprien, Johnathan",DB,JAC,-,"6'1""",211 lbs,7/29/90
"Dabo, Marcel",S,IND,42,"6'0""",208 lbs,1/10/00
"Daley, Dennis",OL,ARI,71,"6'6""",325 lbs,8/7/96
"Dallas, DeeJay",RB,ARI,-,"5'10""",214 lbs,9/16/98
"Dalman, Drew",OL,ATL,67,"6'3""",300 lbs,10/15/98
"Dalton, Andy",QB,CAR,14,"6'2""",220 lbs,10/29/87
"Daly, Scott",LS,DET,47,"6'1""",245 lbs,2/7/94
"Daniels, Braeden",OL,WAS,79,"6'4""",297 lbs,8/22/00
"Daniels, James",OL,PIT,78,"6'4""",327 lbs,9/13/97
"Darby, Ronald",CB,JAC,28,"5'11""",193 lbs,1/2/94
"Darden, Jaelon",WR,CLE,16,"5'8""",175 lbs,1/14/99
"Darnold, Sam",QB,MIN,-,"6'3""",225 lbs,6/5/97
"Darrisaw, Christian",OT,MIN,71,"6'5""",315 lbs,6/2/99
"Davenport, Marcus",LB,DET,0,"6'6""",265 lbs,9/4/96
"David, Lavonte",LB,TB,-,"6'1""",233 lbs,1/23/90
"Davidson, D.J.",DL,NYG,98,"6'5""",320 lbs,12/16/99
"Davidson, Zach",TE,BUF,84,"6'7""",251 lbs,7/15/98
"Davis, Davion",WR,WAS,84,"5'11""",195 lbs,10/23/96
"Davis, Demario",LB,NO,56,"6'2""",248 lbs,1/11/89
"Davis, Derius",WR,LAC,12,"5'8""",165 lbs,9/11/00
"Davis, Domenique",DT,CIN,72,"6'2""",326 lbs,2/28/96
"Davis, Gabe",WR,JAC,-,"6'2""",225 lbs,4/1/99
"Davis, Jalen",CB,CIN,35,"5'10""",190 lbs,2/2/96
"Davis, Jamin",LB,WAS,52,"6'3""",234 lbs,12/12/98
"Davis, Jordan",DT,PHI,90,"6'6""",336 lbs,1/12/00
"Davis, Kaden",WR,ARI,17,"6'1""",190 lbs,9/25/98
"Davis, Kalia",DL,SF,93,"6'2""",310 lbs,10/2/98
"Davis, Khalil",DT,HOU,94,"6'1""",308 lbs,8/22/96
"Davis, Malik",RB,DAL,34,"5'11""",202 lbs,11/26/98
"Davis, Michael",DB,WAS,-,"6'2""",196 lbs,1/6/95
"Davis, Nate",OL,CHI,64,"6'3""",316 lbs,9/23/96
"Davis, Raekwon",DT,IND,-,"6'7""",325 lbs,8/21/97
"Davis, Shaquan",WR,PHI,-,"6'5""",215 lbs,2/8/00
"Davis, Tae",LB,CAR,33,"6'0""",222 lbs,8/14/96
"Davis, Wyatt",G,NYG,67,"6'4""",315 lbs,2/17/99
"Davis III, Carlton",CB,DET,-,"6'1""",206 lbs,12/31/96
"Davis Jr., Carl",NT,DAL,-,"6'5""",335 lbs,3/2/92
"Davis-Price, Tyrion",RB,PHI,-,"6'1""",219 lbs,10/23/00
"Dawkins, Dion",OT,BUF,73,"6'5""",320 lbs,4/26/94
"Day, Sheldon",DL,MIN,52,"6'1""",294 lbs,7/1/94
"Deablo, Divine",LB,LV,5,"6'3""",223 lbs,8/17/98
"Dean, Jamel",CB,TB,35,"6'1""",206 lbs,10/15/96
"Dean, Nakobe",LB,PHI,17,"5'11""",231 lbs,12/13/00
"Dean, Trey",S,KC,42,"6'2""",200 lbs,2/29/00
"Deaton, Dawson",G,CLE,52,"6'1""",306 lbs,5/6/99
"Decker, Taylor",OT,DET,68,"6'7""",318 lbs,8/23/93
"Deckers, Evan",LS,TB,86,"6'3""",252 lbs,2/23/99
"Deculus, Austin",OL,NYJ,64,"6'5""",321 lbs,3/12/99
"Deguara, Josiah",TE,JAC,-,"6'2""",238 lbs,2/14/97
"Deiter, Michael",C,WAS,-,"6'6""",315 lbs,9/3/96
"Dell, Tank",WR,HOU,3,"5'10""",165 lbs,10/29/99
"Delpit, Grant",S,CLE,22,"6'3""",208 lbs,9/20/98
"Demercado, Emari",RB,ARI,31,"5'9""",215 lbs,1/20/99
"Denbow, Trevor",S,IND,43,"5'10""",208 lbs,8/26/98
"Denis, Lukas",S,ATL,41,"5'11""",190 lbs,4/13/97
"Dennis, SirVocea",LB,TB,8,"6'0""",230 lbs,3/9/00
"DePaola, Andrew",LS,MIN,42,"6'1""",229 lbs,7/28/87
"DeVito, Tommy",QB,NYG,15,"6'2""",210 lbs,8/7/98
"Dexter Sr., Gervon",DL,CHI,99,"6'6""",312 lbs,10/5/01
"Diabate, Mohamoud",LB,CLE,43,"6'4""",225 lbs,5/18/01
"Diaby, YaYa",LB,TB,0,"6'4""",270 lbs,5/30/99
"Dicker, Cameron",K,LAC,11,"6'1""",216 lbs,5/6/00
"Dickerson, Landon",G,PHI,69,"6'6""",332 lbs,9/30/98
"Dickerson, Matt",DT,KC,93,"6'5""",292 lbs,11/9/95
"Dickson, Michael",P,SEA,4,"6'2""",208 lbs,1/4/96
"Diesch, Kellen",OT,PIT,72,"6'7""",300 lbs,8/23/97
"Diggs, Stefon",WR,BUF,14,"6'0""",191 lbs,11/29/93
"Diggs, Trevon",CB,DAL,7,"6'2""",195 lbs,9/20/98
"Dillon, AJ",RB,GB,-,"6'0""",247 lbs,5/2/98
"Dillon, Brandon",TE,WAS,46,"6'5""",250 lbs,4/30/97
"Dimukeje, Victor",LB,ARI,52,"6'2""",262 lbs,11/18/99
"DiNucci, Ben",QB,DEN,11,"6'2""",215 lbs,11/24/96
"DiRenzo, J.D.",G,CAR,65,"6'6""",315 lbs,6/27/98
"Dissly, Will",TE,LAC,-,"6'4""",265 lbs,7/8/96
"Dixon, De'Shaan",DL,JAC,47,"6'5""",247 lbs,12/16/98
"Doaks, Gerrid",RB,HOU,23,"5'11""",228 lbs,6/9/98
"Dobbs, Joshua",QB,SF,-,"6'3""",220 lbs,1/26/95
"Dodson, Tyrel",LB,SEA,-,"6'0""",237 lbs,6/25/98
"Domann, JoJo",LB,TEN,47,"6'1""",230 lbs,7/28/97
"Donald, Aaron",DT,LAR,99,"6'1""",280 lbs,5/23/91
"Dorsett, Phillip",WR,DEN,13,"5'10""",185 lbs,1/5/93
"Dorsey, Khalil",CB,DET,30,"5'8""",185 lbs,3/31/98
"Dortch, Greg",WR,ARI,83,"5'7""",175 lbs,5/29/98
"Doss, Tykeem",G,BAL,63,"6'5""",380 lbs,9/25/99
"Dotson, Elijah",RB,LAC,42,"5'9""",202 lbs,1/19/99
"Dotson, Jahan",WR,WAS,1,"5'11""",182 lbs,3/22/00
"Dotson, Kevin",OL,LAR,69,"6'4""",321 lbs,9/18/96
"Doubs, Romeo",WR,GB,87,"6'2""",204 lbs,4/13/00
"Douglas, Demario",WR,NE,81,"5'8""",192 lbs,12/8/00
"Douglas, Rasul",CB,BUF,31,"6'2""",209 lbs,8/29/95
"Dowdle, Rico",RB,DAL,23,"6'0""",215 lbs,6/14/98
"Dowell, Andrew",LB,NO,50,"6'1""",225 lbs,11/16/96
"Dowell, Colton",WR,TEN,14,"6'3""",212 lbs,4/19/99
"Downs, Josh",WR,IND,1,"5'9""",171 lbs,8/12/01
"Doyle, Tommy",OT,BUF,72,"6'8""",320 lbs,5/6/98
"Driscoll, Jack",OT,MIA,-,"6'5""",312 lbs,4/1/97
"Driskel, Jeff",QB,WAS,12,"6'4""",231 lbs,4/23/93
"Dubose, Grant",WR,GB,86,"6'2""",201 lbs,6/20/01
"Duggan, Max",QB,LAC,8,"6'1""",207 lbs,3/12/01
"Dugger, Kyle",DB,NE,23,"6'2""",216 lbs,3/22/96
"Dulcich, Greg",TE,DEN,80,"6'4""",245 lbs,3/26/00
"Dulin, Ashton",WR,IND,16,"6'2""",215 lbs,5/15/97
"Duncan, Jaelyn",OT,TEN,79,"6'6""",306 lbs,7/8/00
"Dunn, Michael",G,CLE,-,"6'5""",315 lbs,8/28/94
"Durant, Cobie",DB,LAR,14,"5'11""",180 lbs,2/9/98
"Durden, Cory",DT,LAR,98,"6'4""",292 lbs,1/26/99
"Durden, David",WR,DAL,85,"6'2""",200 lbs,12/26/98
"Durham, Payne",TE,TB,87,"6'5""",255 lbs,6/15/00
"Duvernay, Devin",WR,JAC,-,"5'11""",202 lbs,9/12/97
"Dwumfour, Michael",DT,CHI,72,"6'1""",296 lbs,1/1/98
"Dye, Troy",LB,LAC,-,"6'3""",225 lbs,9/18/96
"Dzansi, Silas",OT,TB,61,"6'5""",335 lbs,6/13/98
"Eason, Jacob",QB,NYG,9,"6'6""",231 lbs,11/17/97
"Ebiketie, Arnold",LB,ATL,17,"6'3""",256 lbs,1/24/99
"Ebukam, Samson",DE,IND,52,"6'3""",245 lbs,5/9/95
"Echols, Brandin",CB,NYJ,26,"5'10""",175 lbs,10/16/97
"Edmonds, Chase",RB,TB,22,"5'9""",201 lbs,4/13/96
"Edmunds, Tremaine",LB,CHI,49,"6'5""",250 lbs,5/2/98
"Edwards, David",G,BUF,76,"6'6""",308 lbs,3/20/97
"Edwards, Gus",RB,LAC,35,"6'1""",238 lbs,4/13/95
"Edwards, Mike",DB,BUF,-,"5'10""",205 lbs,5/18/96
"Edwards, T.J.",LB,CHI,53,"6'1""",242 lbs,8/12/96
"Edwards Jr., Mario",DE,HOU,-,"6'3""",280 lbs,4/19/94
"Eguavoen, Sam",LB,NYJ,52,"6'0""",236 lbs,2/22/93
"Ehlinger, Sam",QB,IND,4,"6'2""",225 lbs,9/30/98
"Eichenberg, Liam",OL,MIA,74,"6'6""",306 lbs,1/19/98
"Eifler, Milo",LB,ATL,52,"6'1""",228 lbs,2/13/98
"Eiselen, Dieter",G,HOU,60,"6'4""",320 lbs,6/10/96
"Ekeler, Austin",RB,WAS,-,"5'10""",200 lbs,5/17/95
"Ekuale, Daniel",DL,NE,95,"6'3""",310 lbs,1/13/94
"Ekwonu, Ikem",OT,CAR,79,"6'4""",320 lbs,10/31/00
"Elam, Kaiir",CB,BUF,24,"6'1""",191 lbs,5/5/01
"Elliott, DeShon",DB,PIT,-,"6'1""",210 lbs,4/21/97
"Elliott, Jake",K,PHI,4,"5'9""",167 lbs,1/21/95
"Elliott, Jalen",S,PIT,41,"6'1""",205 lbs,7/7/98
"Elliott, Jordan",DT,SF,-,"6'4""",303 lbs,11/23/97
"Elliss, Christian",LB,NE,53,"6'3""",231 lbs,1/2/99
"Elliss, Kaden",LB,ATL,55,"6'2""",238 lbs,7/10/95
"Elliss, Noah",DT,PHI,61,"6'4""",346 lbs,3/31/99
"Eluemunor, Jermaine",G,NYG,-,"6'4""",330 lbs,12/13/94
"Emerson Jr., Martin",CB,CLE,23,"6'2""",201 lbs,9/27/00
"Enagbare, Kingsley",LB,GB,55,"6'4""",258 lbs,1/18/00
"Engram, Evan",TE,JAC,17,"6'3""",240 lbs,9/2/94
"Epenesa, A.J.",DE,BUF,57,"6'6""",260 lbs,9/15/98
"Epps, Marcus",S,LV,1,"6'0""",191 lbs,1/27/96
"Ertz, Zach",TE,WAS,-,"6'5""",250 lbs,11/10/90
"Eskridge, Dee",WR,SEA,1,"5'9""",190 lbs,3/23/97
"Etienne Jr., Travis",RB,JAC,1,"5'10""",215 lbs,1/26/99
"Evans, Akayleb",CB,MIN,21,"6'2""",198 lbs,6/22/99
"Evans, Chris",HB,CIN,25,"5'11""",215 lbs,10/5/97
"Evans, Darrynton",RB,BUF,37,"5'10""",203 lbs,7/9/98
"Evans, Ethan",P,LAR,42,"6'3""",231 lbs,7/19/01
"Evans, Mike",WR,TB,13,"6'5""",231 lbs,8/21/93
"Evans, Zach",RB,LAR,21,"5'11""",202 lbs,5/30/01
"Evans II, Mark",OT,NO,68,"6'4""",295 lbs,10/11/99
"Everett, Gerald",TE,CHI,-,"6'3""",250 lbs,6/25/94
"Eze, Obinna",OT,NYJ,68,"6'8""",325 lbs,6/12/98
"Ezeudu, Joshua",OL,NYG,75,"6'4""",310 lbs,9/19/99
"Ezukanma, Erik",WR,MIA,18,"6'2""",206 lbs,1/25/00
"Faalele, Daniel",OT,BAL,77,"6'8""",380 lbs,11/9/99
"Facyson, Brandon",CB,LV,31,"6'2""",197 lbs,9/8/94
"Fairbairn, Ka'imi",K,HOU,15,"6'0""",183 lbs,1/29/94
"Fant, George",OT,SEA,-,"6'5""",322 lbs,7/19/92
"Fant, Noah",TE,SEA,87,"6'4""",249 lbs,11/20/97
"Fant, Princeton",TE,DAL,48,"6'2""",235 lbs,3/11/99
"Farley, Caleb",CB,TEN,3,"6'2""",197 lbs,11/2/98
"Farmer II, Andrew",LB,LAC,92,"6'4""",250 lbs,4/19/00
"Farniok, Matt",G,DET,66,"6'5""",316 lbs,9/26/97
"Farrell, Luke",TE,JAC,89,"6'5""",250 lbs,10/14/97
"Farrell Jr., Neil",DE,KC,92,"6'4""",325 lbs,9/9/98
"Fatukasi, Folorunso",DT,HOU,-,"6'4""",318 lbs,3/4/95
"Fatukasi, Olakunle",LB,LAR,54,"6'2""",240 lbs,6/11/99
"Feeney, Dan",C,MIN,-,"6'4""",310 lbs,5/29/94
"Fehoko, Breiden",NT,PIT,-,"6'3""",300 lbs,10/15/96
"Fehoko, Simi",WR,LAC,87,"6'4""",218 lbs,11/5/97
"Fehoko Jr., Viliami",DE,DAL,93,"6'4""",267 lbs,12/16/99
"Feliciano, Jon",C,SF,55,"6'4""",325 lbs,2/10/92
"Ferguson, Blake",LS,MIA,44,"6'3""",240 lbs,4/21/97
"Ferguson, Jake",TE,DAL,87,"6'5""",244 lbs,1/18/99
"Ferguson, Reid",LS,BUF,69,"6'2""",235 lbs,3/24/94
"Fernea, Ethan",WR,IND,3,"6'0""",195 lbs,3/2/98
"Ferrell, Clelin",DE,WAS,-,"6'4""",265 lbs,5/17/97
"Fields, Justin",QB,PIT,1,"6'3""",228 lbs,3/5/99
"Fields II, Tony",LB,CLE,42,"6'0""",222 lbs,6/18/99
"Finley, AJ",S,LAC,24,"6'0""",188 lbs,9/14/01
"Firkser, Anthony",TE,DET,86,"6'2""",245 lbs,2/19/95
"Fisher, Joey",G,PIT,79,"6'4""",296 lbs,11/11/97
"Fisk, Tucker",TE,ATL,43,"6'4""",285 lbs,1/19/99
"Fitzpatrick, Dez",WR,PIT,82,"6'2""",208 lbs,12/17/97
"FitzPatrick, John",TE,ATL,87,"6'7""",250 lbs,3/9/00
"Fitzpatrick, Minkah",S,PIT,39,"6'1""",207 lbs,11/17/96
"Flacco, Joe",QB,IND,-,"6'6""",230 lbs,1/16/85
"Flannigan-Fowles, Demetrius",LB,SF,-,"6'2""",223 lbs,9/4/96
"Flott, Cor'Dale",CB,NYG,28,"6'2""",175 lbs,8/24/01
"Flowers, Dallis",CB,IND,33,"6'1""",196 lbs,6/4/97
"Flowers, Zay",WR,BAL,4,"5'9""",182 lbs,9/11/00
"Floyd, Leonard",DE,SF,-,"6'3""",240 lbs,9/8/92
"Fluker, DJ",OT,LV,-,"6'5""",342 lbs,3/13/91
"Folk, Nick",K,TEN,6,"6'1""",225 lbs,11/5/84
"Forbes, Drew",G,CLE,70,"6'5""",308 lbs,1/18/97
"Forbes, Emmanuel",CB,WAS,13,"6'0""",180 lbs,1/13/01
"Ford, Cody",G,CIN,61,"6'3""",329 lbs,12/28/96
"Ford, Jerome",RB,CLE,34,"5'10""",210 lbs,9/12/99
"Ford, Mike",CB,HOU,-,"6'0""",195 lbs,8/4/95
"Ford, Poona",DL,LAC,-,"5'11""",310 lbs,11/19/95
"Ford, Rudy",S,GB,20,"6'0""",210 lbs,11/1/94
"Ford-Wheaton, Bryce",WR,NYG,6,"6'3""",220 lbs,3/9/00
"Foreman, D'Onta",RB,CLE,-,"6'0""",235 lbs,4/24/96
"Forrest, Darrick",S,WAS,22,"5'11""",200 lbs,5/22/99
"Forristall, Miller",TE,LAR,82,"6'5""",244 lbs,3/11/98
"Forsyth, Alex",C,DEN,76,"6'4""",312 lbs,2/13/99
"Forsythe, Stone",OT,SEA,78,"6'8""",307 lbs,12/29/97
"Fortner, Luke",OL,JAC,79,"6'6""",307 lbs,5/15/98
"Fortson, Jody",TE,MIA,88,"6'4""",226 lbs,12/7/95
"Foskey, Isaiah",DE,NO,55,"6'5""",265 lbs,10/30/00
"Fotheringham, Cole",TE,LV,85,"6'4""",243 lbs,10/11/97
"Fotu, Leki",NT,NYJ,-,"6'5""",334 lbs,8/23/98
"Fountain, Daurice",WR,DET,84,"6'2""",210 lbs,12/22/95
"Fowler Jr., Dante",DE,WAS,-,"6'3""",261 lbs,8/3/94
"Fox, Jack",P,DET,3,"6'2""",218 lbs,9/1/96
"Fox, Morgan",DL,LAC,56,"6'3""",275 lbs,9/12/94
"Fox, Tomon",LB,NYG,94,"6'2""",245 lbs,3/16/98
"Fraboni, Mitchell",LS,DEN,48,"6'2""",223 lbs,10/28/96
"Franklin, Zaire",LB,IND,44,"6'0""",235 lbs,7/2/96
"Franklin Jr., Sam",DB,CAR,-,"6'3""",210 lbs,2/2/96
"Franklin-Myers, John",DL,NYJ,91,"6'4""",288 lbs,9/26/96
"Franks, Feleipe",TE,ATL,47,"6'6""",234 lbs,12/22/97
"Freeland, Blake",OT,IND,73,"6'7""",302 lbs,5/3/00
"Freeman, Royce",RB,LAR,24,"6'0""",238 lbs,2/24/96
"Freiermuth, Pat",TE,PIT,88,"6'5""",258 lbs,10/25/98
"French, Wesley",C,IND,62,"6'4""",307 lbs,11/30/96
"Fries, Will",C,IND,75,"6'6""",305 lbs,4/4/98
"Froholdt, Hjalte",OL,ARI,72,"6'5""",310 lbs,8/20/96
"Fromm, Jake",QB,WAS,11,"6'2""",215 lbs,7/30/98
"Fuller, Jordan",DB,CAR,-,"6'2""",203 lbs,3/4/98
"Fuller, Kendall",DB,MIA,-,"5'11""",198 lbs,2/13/95
"Fulton, Kristian",DB,LAC,-,"5'11""",197 lbs,9/3/98
"Funk, Jake",RB,DET,36,"5'10""",205 lbs,1/11/98
"Gage, Russell",WR,TB,3,"6'0""",184 lbs,1/22/96
"Gaines, Greg",DL,TB,96,"6'1""",312 lbs,5/6/96
"Gaines II, Jon",OL,ARI,59,"6'4""",303 lbs,5/24/99
"Gainwell, Kenneth",RB,PHI,14,"5'9""",200 lbs,3/14/99
"Gallimore, Neville",DT,MIA,-,"6'2""",302 lbs,1/17/97
"Galvin, Connor",OL,DET,76,"6'7""",300 lbs,3/11/00
"Gano, Graham",K,NYG,9,"6'2""",202 lbs,4/9/87
"Garcia, Elijah",DL,DEN,95,"6'5""",302 lbs,3/11/98
"Gardeck, Dennis",LB,ARI,45,"6'0""",232 lbs,8/9/94
"Gardner, Sauce",CB,NYJ,1,"6'3""",200 lbs,8/31/00
"Gardner-Johnson, C.J.",DB,PHI,-,"5'11""",208 lbs,12/20/97
"Garner, Mekhi",CB,PHI,43,"6'2""",212 lbs,1/11/00
"Garoppolo, Jimmy",QB,LAR,-,"6'2""",225 lbs,11/2/91
"Garrett, Myles",DE,CLE,95,"6'4""",272 lbs,12/29/95
"Garror, Eric",DB,TEN,33,"5'8""",174 lbs,3/31/00
"Gary, Rashan",LB,GB,52,"6'5""",277 lbs,12/3/97
"Gaskin, Myles",RB,MIN,37,"5'10""",199 lbs,2/15/97
"Gathings, Izaiah",TE,KC,85,"6'4""",222 lbs,9/18/00
"Gay, Matt",K,IND,7,"6'0""",232 lbs,3/15/94
"Gay, Willie",LB,NO,-,"6'1""",243 lbs,2/15/98
"Gaye, Ali",DE,HOU,90,"6'6""",265 lbs,11/29/98
"Gentry, Zach",TE,LV,88,"6'8""",265 lbs,9/10/96
"George, Allan",CB,CIN,42,"5'11""",191 lbs,7/16/99
"Gesicki, Mike",TE,CIN,88,"6'6""",245 lbs,10/3/95
"Gibbens, Jack",LB,TEN,50,"6'3""",242 lbs,11/24/98
"Gibbs, Jahmyr",RB,DET,26,"5'9""",200 lbs,3/20/02
"Gibson, Antonio",RB,NE,-,"6'2""",220 lbs,6/23/98
"Gifford, Luke",LB,TEN,57,"6'3""",243 lbs,8/28/95
"Gilbert, Zyon",CB,GB,29,"6'0""",193 lbs,2/4/99
"Giles-Harris, Joe",LB,NE,53,"6'2""",234 lbs,4/1/97
"Gill, Trenton",P,CHI,16,"6'4""",219 lbs,1/1/99
"Gillan, Jamie",P,NYG,6,"6'1""",207 lbs,7/4/97
"Gillespie, Tyree",S,KC,42,"6'0""",207 lbs,9/5/97
"Gilliam, Nate",C,CIN,66,"6'5""",300 lbs,7/6/97
"Gilliam, Reggie",FB,BUF,41,"6'0""",244 lbs,8/20/97
"Gillikin, Blake",P,ARI,12,"6'2""",196 lbs,1/21/98
"Gilman, Alohi",S,LAC,32,"5'10""",201 lbs,9/17/97
"Gilmore, Steven",CB,DET,24,"6'0""",174 lbs,9/17/99
"Gipson, Trevis",LB,JAC,-,"6'4""",263 lbs,6/13/97
"Gipson, Xavier",WR,NYJ,82,"5'9""",189 lbs,3/8/01
"Givens, Kevin",DT,SF,-,"6'1""",285 lbs,3/1/97
"Glaser, Chris",OL,NYJ,63,"6'4""",306 lbs,10/1/99
"Glasgow, Graham",OL,DET,60,"6'6""",315 lbs,8/19/92
"Godchaux, Davon",DL,NE,92,"6'3""",330 lbs,11/11/94
"Godrick, Chukwuebuka",OT,KC,72,"6'5""",295 lbs,10/11/00
"Godwin, Chris",WR,TB,14,"6'1""",209 lbs,2/27/96
"Goedeke, Luke",OT,TB,67,"6'5""",312 lbs,11/28/98
"Goedert, Dallas",TE,PHI,88,"6'5""",256 lbs,1/3/95
"Goff, Jared",QB,DET,16,"6'4""",217 lbs,10/14/94
"Golston, Chauncey",DE,DAL,99,"6'5""",268 lbs,2/10/98
"Gonzalez, Christian",CB,NE,6,"6'2""",205 lbs,6/28/02
"Goode, Cameron",LB,MIA,53,"6'3""",245 lbs,4/15/98
"Good-Jones, Julian",G,WAS,61,"6'5""",313 lbs,3/2/97
"Goodrich, Mario",CB,PHI,37,"6'0""",186 lbs,1/12/00
"Goodson, Tyler",RB,IND,31,"5'9""",197 lbs,11/10/00
"Goodwin, C.J.",CB,DAL,29,"6'3""",190 lbs,2/4/90
"Gordon, Kyler",DB,CHI,6,"6'0""",200 lbs,12/17/99
"Gordon III, Melvin",RB,BAL,33,"6'1""",215 lbs,4/13/93
"Gore, Derrick",RB,WAS,38,"5'10""",212 lbs,12/13/94
"Gotsis, Adam",DL,JAC,96,"6'4""",290 lbs,9/23/92
"Gouraige, Richard",OL,BUF,75,"6'5""",306 lbs,10/15/98
"Graham, Alfonzo",RB,PIT,29,"5'9""",180 lbs,3/20/00
"Graham, Brandon",DE,PHI,55,"6'2""",265 lbs,4/3/88
"Graham, Jalen",LB,SF,50,"6'3""",220 lbs,1/11/01
"Graham, Ta'quon",DL,ATL,95,"6'4""",294 lbs,12/1/98
"Graham Jr., Thomas",DB,PIT,-,"5'10""",196 lbs,6/24/99
"Granderson, Carl",DE,NO,96,"6'5""",261 lbs,12/18/96
"Granson, Kylen",TE,IND,83,"6'3""",242 lbs,3/27/98
"Grant, Jaydon",S,LV,40,"6'0""",190 lbs,6/15/98
"Grant, Richie",S,ATL,27,"6'0""",200 lbs,11/9/97
"Grasu, Hroniss",C,LV,65,"6'3""",301 lbs,8/12/91
"Gray, Danny",WR,SF,6,"6'0""",200 lbs,4/1/99
"Gray, Eric",RB,NYG,20,"5'10""",211 lbs,11/4/99
"Gray, J.T.",DB,NO,48,"6'0""",202 lbs,1/18/96
"Gray, Noah",TE,KC,83,"6'3""",240 lbs,4/30/99
"Gray, Vincent",DB,CLE,31,"6'2""",192 lbs,12/28/99
"Green, Antoine",WR,DET,80,"6'2""",199 lbs,11/15/99
"Green, Art",CB,DEN,28,"6'1""",201 lbs,4/29/00
"Green, Kendrick",C,HOU,50,"6'4""",315 lbs,12/22/98
"Green, Kenyon",G,HOU,59,"6'4""",323 lbs,3/15/01
"Green III, A.J.",CB,MIN,-,"6'2""",198 lbs,6/9/98
"Greenard, Jonathan",DE,MIN,-,"6'3""",263 lbs,5/25/97
"Greene, Mike",DL,TB,91,"6'3""",293 lbs,5/3/99
"Greenidge, Ethan",OL,ATL,71,"6'4""",335 lbs,9/10/97
"Greenlaw, Dre",LB,SF,57,"6'0""",230 lbs,5/25/97
"Grier, Will",QB,PHI,-,"6'1""",220 lbs,4/3/95
"Griffin, Shaquill",DB,MIN,-,"6'0""",198 lbs,7/20/95
"Griffith, Jonas",LB,DEN,50,"6'4""",250 lbs,1/27/97
"Gross-Matos, Yetur",LB,SF,-,"6'5""",265 lbs,2/26/98
"Grupe, Blake",K,NO,19,"5'7""",156 lbs,11/5/98
"Gunter, Jeff",DE,CIN,93,"6'4""",263 lbs,5/31/99
"Gurman, Vitaliy",G,NYJ,50,"6'4""",310 lbs,8/4/98
"Gutierrez, Sebastian",OL,SF,60,"6'6""",308 lbs,7/6/98
